,0
650,christopher lloyd usual top form rest cast good well baby geniuses fails main problem script funny enough film moments zany humor laughs nothing memorable except interaction babies kiddies really appear communicating one another elements film may help achieve cult status near future stands baby geniuses interesting failure entertained end laugh enough see novel plot lloyd top performance expect much may guilty pleasure depending mood
651,movie makes wonder imdb forced give movie dreadful minimum quite rightly deserves vote life never seen rubbish alleged acting unbelievable john travolta thinking made pile involved deserve never involved movie industry ever story unfathomable word made slightest sense beginning end sit something silly boring life even offered see cost run exit
652,saw movie hated found cost make started hate considered love story lopez affleck may ask love sex scene nudity passion sound supporting characters like christopher walken others introduced went story alone peeks pacino arrives shoots one cast members hoping pacino finished job killed rest cast happened movie would good instead movie drags drags drags audience going care actors movie learn something progress care characters lopez affleck characters exist much like ugly tattoos affleck shoulder movie fun look opinion think wrong lopez small nude scene movie done independent film million gigli would giant success instead left wonder
653,might cost life willing let world know evil goes country five years ago unnamed officials government decided upon answer upcoming overpopulation problems plague future needed get rid lowest levels poor stupid scared essentially idea hitler holocaust obvious one germany perpetrated generations ago decided draw unneeded masses one place would gassed would set one areas every town ghettos draw stupid deranged would offer free passes worst film ever made carrot top comes picture gave film purchased trained monkey circus named alex zamm direct spent much took make bad possible ruined reputation decent actors like courtney thorne smith larry miller jack warden previously punished problem child series opposed governments agendas years wrote sequence horribly clich scenes allowed carrot top improvise hope sterilizingly bad comedy would pump gas going simple quick executions bodies buried greenland thousands flocked thousands died one knows fear show carrot top everyday numb stupefy keep dumb easy oppress must government probably traced wearabouts address must flee berlin regime
654,obviously lot talented behind scenes crew members worked movie even look credits end hold nobody seemed interested seeing movie theater two passed minutes lucky ones monsters unemployed worm star trek wrath khan rejected designs space creatures alien creators movie obviously want overshadow third rate movie monsters hired forth rate actors apparently get memorize lines cases learn pronounce words filming began scenes incredibly inept conveying supposed happening anything unfortunate enough theater movie showing pass laugh supposed frightening suspenseful moments film implausibility several scenes stun stephen dorff regular spewing queen mary curse words conveys feeling anyone pays see must see movie favor wait bargain bin video store justice film industry one main actors rent
655,rather list movies filmmakers wanted parody strung together weakest plot film history lot unfunny jokes would think team responsible mess movie date movie would least learned something last film help avoid mistakes would appear spent time making parodies visually accurate could spent almost time trying make film entertaining parodies seem completely place even fit little plot recommend film anyone even hated
656,film made mad believe original film mask awesome film worth buying watching lot strongly believed make sequel saw thought film spoilt whole idea mask mask mode baby flying around room little brother seven even laugh childish movies worse load crap telling please watch film waste money waste time instead could actually fun watch mask repeat watch hunk junk thank
657,cried quality urban film making free gangsta thuggin drug related themes keep looking detroit city rich culture history ethnicity empowerment recent years developed unfortunate reputation upsets many natives voice politicians rappers even filmmakers try desperately reverse negative image much credit writer director preston whitmore loyal patriot indeed attempts urban tale street ball dreams fulfilled dreams deferred seemed like every minutes needless montage city landmarks part storyline gimmick seemed patronizing best insulting worst love city understand patriotic sympathies however simply place celluloid filmmaker wants show good city make good movie part problem crossover dramatic enough taken seriously funny enough comedy funniest thing movie main character tech mackie spending half movie studying ged plot mediocre acting simply ghastly wayne brady said could leading man prove black critics quite unconvincingly portrays vaughn part businessman part thug legitimate interest street ball cookie monster scarier underworld figure wesley jonathan absolutely priceless rollbounce less thrilling almost boring eva pigford play acting femme fatal ruined character might interesting crossover crapover calling end film probably looked good paper lost focus somewhere pitch production often advise urban screenwriters beware potential peril death sentence film importantly another unwanted blemish genre film blemished enough
658,perverse desire see every film bottom thought could far wrong rental classic pos mariah carey first far feature film example combined mpaa riaa attempts shovel garbage starting backfire sales mariah recordings one highlights otherwise dreary riaa mainstream catalogue slumped film let blind mariah fans fool bad critics say deserving bottom status begin pulling apart cinematic abortion first major problem cinematography viewer clued fact vondie curtis hall directed television film starts flat days lives style shots soon make clear enough directors put one two actors three tops frame dime dozen hand directors cannot even differentiate actors spacing camera truly stand good way story described syrupy enough kill anyone suffers diabetes going contest variation upon classic rags riches theme specifically tailored towards mariah mariah essentially plays guise young vocalist starts singing backup considerably less talented vocalist crosses paths people eventually said people twig fact vocalise best one eventually picks manages record deal promises one day play madison square garden something along lines kind story done real life examples jacksons providing source material one excellent miniseries theme problem heard story million times another significant problem mariah voice many would kill absolutely nothing stands even slightly material old girlfriend mine said longer takes riaa twig fact female mandate wanting hear formulaic ballad crap business going lose independents support bands like opera think fact mariah last album disappeared without trace spite millions dollars spent promotion proves right mariah story also incredibly bland say least junkie mother gave young boo hoo happens probably better get already previously mentioned jacksons could run rings around likes mariah carey sob stories reluctance deal media large telling thing end simply left another example mainstream trying seem alternative failing gave glitter one ten think harsh think amazingly bad becomes comedic least first viewing suspect repeated viewings simply become boring
659,yes finally came cable order keep credentials expert badfilm deal monstrosity sooner later without ado god thought good idea trying make quick buck flavor week show understand thought chance success retarded anyone campy much like gidget remake set much skin barney dinosaur crowd enough plot minute sitcom every teensploiter movie clich ever without either humor saving grace good ones nudity sometimes saving grace bad ones anyway random notes one first songs kelly clarkson remake vacation always considered light bouncy pop song course kelly overproduction team sucked life bouncy complin service one made wish brief return early punk probably would roughed anyone one songs badly justin teen heartthrob thin might able tie string fly high wind day fro looks little like pipe cleaner note director justin wear black shirt guys song set shirtless hiding anything sticks like well like black pipe cleaner sea artificial tan look obvious backstabbing friend nemesis slut girl hee haw southern accent trying steal kelly scenes away overacting contrast kelly underacting sorry young lady obviously chosen ability pack small swimsuit nobody cares watching justin nerd friend sidekick almost see lineage trace lines going back far superior nerd sidekicks better dead ferris bueller day way back early beach party movies rebel without cause fact clothes seem lifted outfits early beach party movies nerd sidekick wardrobes actually date early might considered retro cool circles thus worth rest film intense chemistry justin kelly really serious yes alan rickman kate winslet sense sensibility overflowing cauldron unrestrained sexual passion compared two justin trying dispel man man rumors nothing help get movie sluggish dead water justin kelly alone scene five seconds kelly nice black friend taken ritzy latin nightclub located abandoned corrugated metal shack need check abandoned building next block cotton club might started branch mitigating factor latin dancers way talented blandly white beach dancers scenes kelly admire bjork see appreciate independence willingness way given situation career longevity want homage bjork altering bland middle road song delivery would good place start hairdo fact good place start hee haw girl bad impersonation madonna material girl video means course even worse second derivative impersonation marilyn monroe purpose satisfy requirement contract got lead one song number telepathic singing glitter flashbacks justin game hovercraft dodge ball stunt double must girl get sizes right look danger lost control motorized inflatable hovercraft three feet warm water hee haw evil girl proud notching various studs hitting justin evil hee haw girl plots discovered budget get pulled needed way wrapping plot faster could say deus machina final massive musical number sunshine band cover deeply painful many levels including watching nerd boy dance least mangled already bad song rather torture respectable song anyway yes movie bad heard
660,yet wish imdb ranking little brother made mistake renting title red box using promo code upset realizing although rental free amount energy spent walking store rent much put movie horrendous along epic movie murder cycle ghoul school movies actually made eyes hurt stupid humor lack managed keep golden retrieve entertained brother enjoyed justin kelly would part turning ending desire seeing regret seeing movie feel empty realizing watching probably damage body smoking habit
661,really could write scathing review turd sandwich instead going making observations points deduced point watching movies anymore reader remember scary movie remember original comedic elements slapstick funny lines pretty forgettable comedy worth price admission well last time premise funny stop making movies please could call boycott pieces monkey know going line pre pubescent annoying little buggers spouting crappy one liners like sparta rick james bitch movies continue make form monetary gain considering production value movie looks like cost cents make see movie spend money home rent airplane laugh ass silently judge people talking movie monday favor
662,superbabies baby geniuses perfect movie kids elements success entertainment great acting amazing direction good story unfair see unjust critics harshly criticizing entertaining good children movies paid movie makers four genius babies play detectives cleverly fighting evil media mogul bill biscane kidnaps innocent children everywhere cute smart child called kahuna drinking special chemical becomes strong kid like superman changes super baby fight evil rescue lives friends absolutely enjoyed watching stunning movie alas good rated
663,believe pay movie least stay watch payed money sat vampires suck stood chair left movie movie worst film making ever seen could consider hour half tribute prepubescent teenager like camera shows year old female fans movie unless year old currently impression justin bieber world talented person earth avoid movie year old currently impression justin bieber god listen music stars option would picked movie made sick
664,want write comment shawshank redemption sure almost everything could possibly said said like many people wrote comments profoundly moved simple eloquent depiction hope friendship redemption movie ever seen effects strongly kill mockingbird movies leave feeling cleaner watched intend see movie like prison movies normally watch work branch library one day checking shawshank redemption one older patrons said whenever feel depressed check movie watch always makes feel better time thought strange one day nothing except things absolutely would watch circumstance things seen many times already remembered said watched watched many many times since gets better every showing action special effects men prison uniforms talking shawshank redemption kill mockingbird best movies ever seen judge technical merits really care read citizen kane godfather movie best movie ever made may best technique influential motion pictures ever made best best movies ones touch soul takes movie like shawshank redemption touch soul
665,beautifully crafted gangster film outstanding family portrait matter amazing period piece character study lesson filmmaking inspiration generations actors directors screenwriters producers definitive film stars favorite films imdb com list mkjokvqlsbs lesser known masterpieces imdb com list
666,movie way good labelled sequel godfather rather companion piece original two perfectly compliment sequel prequel showing rise young vito moral decline micheal characters brought life uncanny ability robert deniro pacino say two good actors like saying nuclear bomb makes loud noise movie prove top respective crafts pacino standout ensemble cast amazing eyes changed first part cold ruthless unemotional betray price micheal corleone paid power watch movie learn greatest gangster film time
667,subjected enormous amounts hype marketing dark knight seen joker scavenger hunts one largest viral campaigns advertising history culminates actual release movie everything said pretty much spot first time remember summer blockbuster film far surpasses hype much action movie acting makes great piece work punches explosions stunt work great dialog work actors moments bale batman definitive batman see everything character finally film martial arts skills cunning great tactical thinking forensic application technological genius advance improve luscious fox inventions technological breakthroughs intimidating personality even little swashbuckling heath yes gets credit performance joker also recognize jonathan chris nolan writing treatment character fact ledger makes joker menacing nolans given character great manifesto drives actions joker stance chaos order anarchy morality average modern human make character interesting psychologically nolans drafted complex character perfect performance could pulled something like difficult role ledger performance great action movie film explores literary themes hero villain well order anarchy yes listen dialog
668,case learn first holocaust films holocaust really bad speilberg goes limb hits head fact holocaust really bad also exploitative pandering manner point grotesque learn holocaust films nazis also exterminated gypsies gays etc well nazis wiped lot groups beside jews sort thing tows dangerous line significant million plus people exterminated million jews according majority films various holocaust memorials gypsies gays etc count numerous memorials documenting genocide happened country native americans also numbering millions would make historically relevant film think perhaps native americans powerful militaristic state subservient power would native american genocide memorials probably fact much comes elite american jewish organizations reeks bit hypocrisy since historically american jews suffered least compared native afro americans even suggest contrary would joke film function one might conclude panders american jews exploiting guilt perhaps lack sufficient suffering interested actual holocaust history one might shocked little american jews would suggest reading serious less pandering sources seventh million tom segev israeli journalist good holocaust industry norman finkelstein good one might shocked find jews one big group bunch diverse groups radically varying histories etc
669,obviously aware fact lord rings trilogy actually one giant movie since released parts judging return king final chapter since climax resolution epic journey little intensity urgency previous installments point everyone come know love characters stakes become tremendously high kingdoms knees two characters save day getting weaker weaker tension high episode honestly say one edge seat many memorable scenes one favourites including part giant spider made classic sure stay decades come longest series mostly ending seems last good ending see frodo audience gone incredible ordeal think needed minute linger battle celebrations ended sad emptiness felt films spanned years extended cuts course peter jackson gave ending appropriate admirable amazing movies one particular best opinion whole lord rings phenomenon absolute phenomenon much movies universal appeal touched hearts imaginations millions one sorry fanboyish kissing movie ass really admire may among personal favourites generally seems movie event century never another lord rings film bit depressing rating
670,one early scenes pulp fiction features two hit men discussing big mac called countries dialogue witty entertaining also disarming makes two thugs seem normal know better might assume regular guys chit chat way work comic payoff end scene use parts conversation taunt victims talk relevance anything film anything else matter yet without scenes pulp fiction pulp fiction get sense tarantino put film whatever struck fancy somehow final product coherent wonderfully textured wonder fans spend much time debating suitcase reading far story tarantino probably intended film intricately structured many astonishing details many pick first viewing seems cry deeper explanation deeper explanation pulp fiction title indicates purely exercise technique style albeit brilliant layered one containing numerous references films like great work abstract art art art characteristics associate great movies fine writing first rate acting unforgettable characters one well constructed narratives ever seen film end self contained story seem bearing anything movie becomes bit easier understand realize essentially black comedy dressed crime drama three main story threads begins situation could easily form subplot standard gangster movie something always goes wrong small unexpected accident causes whole situation come tumbling leading increasingly desperate characters absurd measures tarantino originality stems ability focus small details follow lead even move story away conventional plot developments perhaps screenplay ever found better use digressions indeed whole film seems consist digressions character ever says anything simple straightforward manner jules could simply told yolanda cool one going get hurt type line find generic run mill action flick instead goes tangent fonzie like tarantino savors every word characters finding potential wisecrack every statement infusing dialogue clever pop culture references lines witty full intelligent observations human behavior think mia statement vincent know found somebody special shut minute comfortably enjoy silence movie purpose exactly sure deal lot theme power marsellus sort character looms entire film invisible time whole point big date sequence happens favorite section film power marsellus men without even present power gets vincent act ways would ordinarily expect dumb stoned gangster faced attractive woman whose husband gone away power theme also helps explain one controversial aspects film liberal use word film word used epithet describe blacks jules instance one point applies term vincent power race powerful characters utter word express dominance weaker characters gangsters racist practice indeed intermingled racially achieved level equality surpasses habits many law abiding citizens society resort racial epithets patter establishes separateness non criminal world nice moral progression stories presume vincent hesitates sleep mia fear rather loyalty later butch act heroism could motivated honor never sure film ends however jules making clear moral choice thus movie seems exploring whether violent outlaws act self preservation still hard find much larger meaning tying together eccentric set stories none stories really anything certainly hit men pontificating burgers film really satire farce although contains elements times feels like tale need told whatever reason movie tells better job films kind kind
671,sprawling western epic follows adventures three gunfighters looking stolen gold sergio leone good bad ugly masterpiece one continues get better better viewing way morality play weighing consequences good evil realistic manner sometimes crime pay least short term sometimes good unrewarded film probably signaled death knell traditional john wayne white hat black hat western three main characters make film lee van cleef bad evil personified totally ruthless whatever takes get wants clint eastwood good man name really good traditional sense certain sense honor tries right thing watch scene gives dying confederate soldier puff cigar powerful sums everything man name without saying single word eli wallach ugly tuco easily complex best character film impulse rage tuco spins wildly throughout movie stealing lying pretending clint eastwood best friend one scene trying kill another tuco truly represents ugly side people movie long wasted scene film one slowly lets film unfold certain style grace revealing character going pacing incredible direction sergio leone manages build lot uncomfortable tension film keeping film ever getting predictable typical western clich possibly think either given unique twist utterly destroyed leone masterful storytelling special mention ennio morricone score absolutely perfect two scenes one union prison camp one climatic gunfight cemetery end film amazing become absolutely astonishing combined morricone powerful score movie absolutely brilliant seen yet strongly urge immediately watch unforgiven way think unforgiven sequel good bad ugly story eventually happened man name good bad ugly easily one best westerns ever made
672,fight club one unique films ever seen addition presenting rather fresh take life also presents material fresh way main interest film opinion present characters think rather presents actions think say cannot recall ever asked film suspend disbelief way film asks third act time come terms understanding room need disbelief perhaps comments make sense average movie goer dismiss film unfortunately premise another hollywood flick filled gratuitous violence far say film violence choices activity lethargy waking realizing point past gone toilet thrown dreams without even realizing society stuck fingers throat would argue anyone caught point lives rock hard place anyone reached bottom mental level anyone uttered wait right would say feel said felt like must change forever stuck person people know talking people recognize similarities edward norton character uncomfortably familiar people appreciate fight club wake call alone david berman said afraid got common becoming sentence makes sense see fight club regret
673,resilient parasite idea yes nolan created something unbelievably incredibly god gifted mind blow minds audience away world premiere movie directed hollywood inventive dreamers shown london already got top notch reviews worldwide scored maximum points question arises movie deserve dom cobb caprio extractor paid invade dreams various business tycoons steal top secret ideas cobb robs forcefully psyche practiced skill though increasingly haunted memory late wife mal marion cotillard nasty habit showing subconscious wreaking havoc missions cobb involved much heist work lost love fate decided wealthy business man saito ken watanabe hands responsibility dissolving empire business rival robert fischer cillian murphy time job steal idea plant new one inception happens classic heist movie tradition carry task cobb brainiac specialists team arthur joseph gordon levitt longtime organizer tom hardy eames forger shapeshift yusuf dileep rao powerful sedative supplier one word describe cinematography set designs special effects exceptional watch scenes happening feel movie real thrill ride action scenes well picturised music hans zimmer electronically haunting never runtime movie get chance move eyes screen object leonardo still popularly known jack dawson played titanic relieved role dom cobb remembered forever performance may may fetch oscar finest performance till date supporting cast extraordinary work christopher nolan man work nothing less masterpiece deserves awards best director category inception metaphysical puzzle also metaphorical one hard draw connections cobb dream weaving nolan film making intended seduce mess heads leave ever lasting impression conclude would say life ends favor experiencing exceptionally lucid classic created nolan rating thanks regards
674,star wars episode empire strikes back excellent timeless classic best sequel time love film death second favorite film best sequel star wars franchise love empire strikes back movie one best sequels think right aliens right terminator judgment day excellent sequel really establish empire value treat empire strikes back still excellent film really believe timeless classic second favorite film director irvin kershner number favorite irvin kershner film robocop underrated action flick still review movies someday empire strikes back best one series deeper darker philosophical great darth vader empire menacing direction creative characters feel real nature force explored without losing mysticism pacing george lucas would put faster intense film saga plot actually rescue mission luke skywalker mark hamill coming rescue friends han solo princess leia organa chewbacca captured planet bespin cloud city villainous darth vader han solo friend lando calrissian billy dee williams set darth vader set trap luke also luke studied force jedi master yoda become full jedi knight end must confront darth vader david prowse self origins luke skywalker reveled empire strikes back released directed irvin kershner time george lucas george lucas decide want make sequel independent one ended coming founding film getting loan money earn first movie success decided wanted found film self wanted executive producer keep eye lamp moved bigger studio orange county california diced producer want direct empire strikes back first choice irvin kershner professor film school george attended always liked irvin kershner course former professor hard way talk first time irvin kershner want george called irvin agent agent said irvin take rest history stands test time best film ever directed love john williams score still think john williams changed music score little bit opinion things love film love battle rebels fighting imperial walkers ice world hoth favorite scene ice world film imperial walkers incredible well made classic special effects love origins luke skywalker reveled luke son darth vader actually anakin skywalker become darth vader went dark site first time ever see emperor hologram talking darth vader falcon han solo princess leia organa chewbacca hiding rocks try eat monster luke faces darth vader self face face get arm cut jumps bridge want join father dark force lightsaber duel throughout chamber luke darth vader excellent epic training sequence luke master yoda excellent epic new hope empire strikes back favorite films series franchise film get perfect score best sci adventure sequel time
675,one film lived hype time saw arrived video stores heard read ton things seen awards received expected lot surprise disappoint several years later watched three rings films twice still think first movie trilogy best truly spectacular adventure story way probably best ever put film first three hours extra special following two films good sure first better mixture story second third movies almost entirely frodo allies long journey first half movie also gives good bit interesting introductory material including number scenes shire long adventure starts watch three films consecutively action wears midway final episode almost becomes much never gets chance happen fellowship film anyway fellowship stunned visuals alone recall film many jaw dropping scenes one three straight hours beyond description care computer generated fact awesome view beauty staggering action scenes feature incredible looking monsters mythical characters story covers kinds terrain lush shire hobbits harsh neighboring landscapes couple minutes two movies followed scenes radically change calmness action adventure romance sweet lovable characters hideous monsters incredible movie experience
676,first saw movie appreciate like think may young first saw recently saw movie amazing story moving meaning movie teaches much life meaning life bad people make seem innocent man impact many lives innocence meaning movie everyone needs better outlook life need appreciate little things let big things hold back truly although life may throw trials tribulations like box chocolates bite get even like need hold true values sink place feels like hope love movie anyone seen thinks like seriously suggest seeing seeing truly amazing
677,cidade deus seems lot praise imdb boards good reason simply opinion one best contemporary films ever made based true events characters live overlooked poverty stricken slums shadows rio janiero life expectancy reach drug dealers kings tale city god myriad characters told rocket young man struggles make something life wind another victim drugs gang wars characters city god absolutely fascinating also endearing also convincingly acted groups young unknown actors stoies well told times funny others brutally shocking cinematic style film gives nod tarantino clever time jumping freeze framing texts indicating another chapter film every sense bit brazillian pulp fiction goodfellas unique flavour city god marvel highly recommended film watch recommended sensitive easily distressed
678,went film knowledge second film history win top five oscars best picture best actor best actress best director best screenplay praised one jack nicholson finest roles one classics naturally hearing high expectations one flew cuckoo nest nonetheless surprised easily film surpassed expectations easily led understand merited praise based novel ken kesey story follows randle patrick mcmurphy jack nicholson attempt get spending time prison pleads insanity crime therefore sentenced time mental institution mcmurphy intention believes conditions crazy house significantly easier contend another harsh stay prison however quickly finds surviving institution desolate patients including christopher lloyd danny devito vincent schiavelli absolutely brilliant brad dourif stuttering billy bibbit monstrously repressive nurse ratchet louise fletcher career defining role considerably harder imagined mcmurphy plays pranks horseplay generally defiant rules institution attempt raise spirits constant optimism reckless defiance date rules institution uplifting often quite funny well much movie depressing generally decrepit state institution consistently intentionally bleak background superb story truly bittersweet ending jack nicholson best head shoulders excellent performances chinatown good gets mcmurphy apparently unquenchable optimist refusing succumb defeated spirit patients livewire antics inspiring patients generally uplifting indomitable spirit finally broken really feel fellow patients nicholson conveys essence mcmurphy perfection demonstrating excellent understanding interpretation character mcmurphy announces going lift huge stone fountain hurl window escape patients caught intoxicating spirit freedom honestly believe despite fact would impossible man much stronger mcmurphy finally discovers despite best efforts cannot lift fountain openly crushed help feel beneath frequent profanities livewire antics real human emotions come across truly touching said one flew cuckoo nest already said excellent storyline top notch acting painfully bleak visuals perfectly setting tone movie alternates truly uplifting devastatingly depressing features perhaps memorable film ending ever next man horse riding sunset leaves viewer beaten conflicting emotions unaware think picture next reveling glorious entirety hard produce final outcome better
679,needs seen believed one word perfection every frame every voice every song comes together exact right moment create perfect film experience film makes really understand feel makes american mafia compelling eyes kid unfortunate enough grow tough neighborhood gangsters rock stars live fast die young die gonna glamorous suicide drug overdose ending brutal ugly sad may well one best friends blow brains never get tired watching goodfellas entertainment value film amazing happen often every person involved process making film peak game rarely art entertainment come together way storytelling impeccable pacing like master composer conducts masterpiece hail king versatile talented filmmaker generation martin scorsese vote favorite films imdb com list mkjokvqlsbs lesser known masterpieces imdb com list favorite low budget movies imdb com list favorite shows reviewed imdb com list
680,story reluctant christ like protagonist set baroque mtv backdrop matrix definitive hybrid technical wizardry contextual excellence benchmark sci films come hollywood problems combining form matter sci genre lot visually stunning works nobody cared hero nobody simply cared anything though aroused interest intellect nobody ooh aah special effects matrix elements perfectly sync want cheer heroes victory wanted bludgeon opposition sit awe neo evaded bullets limbo rock fashion salivated makes matrix several cuts rest films genre simply loopholes script written wachowski brothers intelligent carefully geeky kung sequences deftly shot something even bruce lee would proud photography breathtaking bet cut every frame reel developed printed every single frame would stand acting maybe best keanu reeves name actor box office appeal could portray uneasy vulnerable protagonist neo way reeves come think pit actor beside laurence fishburne bound confuse actor bad acting morpheus fishburne simply wicked shades mentor role higher learning nobody exudes aura quiet intensity fishburne character battle scarred always composed morpheus given extra dose mortality loves neo fault fishburne flesh people say want say good matrix bottomline finally philosophical film cut generation generation wachowski brothers probably scribbled little note finished script saying think moment existence matrix ask something closer reality think either personal choice best film time
681,though biblical connotation happiest one seven deadly sins number seven omnipresent days weekly cycles seems lucky number world cinema several solid great movies number title starting gag wise incredibly inventive seven chances genius silent era buster keaton frank borzage silent version classic melodrama heaven walt disney first feature length animated movie snowhite seven dwarfs recognized instant classic remained ever stanley donen ear pleasing eye riveting musical seven brides seven brothers staged western milieu outstanding dance sequence ingmar bergman literally death defying answers reasons human misfortune seeking masterpiece det sjunde inseglet seventh seal billy wilder seven year itch clever amusing first collaboration incomparable marilyn monroe worm second bigger decisive step taboos motion picture production code breaking brilliant comedy like hot newer examples like david fincher disturbing drama one finest hollywood movies well tsui hark chat gim seven swords stunner department action sequences often appreciated genre wuxia originating chinese literature however even among illustrious examples movie making par excellence one movie holds special place shichinin samurai seven samurai legendary japanese director akira kurosawa movie seem lack anything avid movie consumer particular samurai genre admirer might wishing easy say anything new one analyzed scrutinized movies film history nevertheless despite eventually repeated shall mentioned movie simple engaging story group peasants representing village periodically stormed gang bandits looting crops possessions hires several wandering ronins masterless samurai help protect village without lucid observations possibility social interaction members different classes almost seven centuries long feudal history japan characterization excellent though clear stand outs samurai true leader kambei takashi shimura wise tactician exceptional valor well exuberantly uncontrollable kikuchiyo toshiro mifune messy appearance blustering manner yet peasant descendant making perfect link samurai employers samurai memorable well sporting wide variety personality traits joining village protection campaign hired nothing regular meal long providing service thus primarily hoping finally fill starving stomachs one driven different additional motives whether challenged test bravery fighting skills tactics seeking excitement recognition trying regain pride glory past days reaching human touch cross class communication even mere courtship promising relationship deprived simply interested noble cause together true highlights realistically choreographed battle scenes showing pain misery excessive violence reverse heroism even defenders cannot avoid resorting sadly announcing inevitable decline samurai ways exposed new artless technology unbecomingly dying ambushed distant shots muskets ingloriously stuck village muds makes compelling narrative though triumphant common task protect village unlikely alliance samurai peasants ultimately doomed fail short run gives expected results long run stand chance loudly although fact silently expressed end peasants even care join surviving samurai mourning fallen ones even giving last well deserved respect helped withstand fierce attacks prevail ultimately defeat bandits given lives peasants simply continue daily chores surviving samurai leave village like never existed sadly symbolizing ultimate destiny slowly surely stepping future pages history books seven samurai movie rightfully considered one redefined samurai film contemporary perception dawned almost two decades long string successes instantly becoming brightest example thus revived uniquely provocative entertaining sub genre unknown country origin classified within broader genre jidaigeki period drama often describing events pre modern era edo period marking governance tokugawa shogunate relatively peaceful times japan long history civil wars opposed gendaigeki films treating contemporary matters imdb standards action drama occasionally historical based real events originating edo era far east inspired equally successful star studded brynner mcqueen bronson coburn wallach vaughn buchholz dexter hollywood remake magnificent seven conveniently situated west century well three lesser sequels return guns ride
682,star wars episode new hope classic phenomenal arguably best sci film trilogy away one started arguably changed face cinema forever love film actually number favorite film franchise george lucas masterpiece man make film happening wrote directed self love film death love everything new hope movie want say watching new awful horrible movie episode vii force awakens decide watch original star wars trilogy always loved new hope always first film trilogy saw kid remember star wars starring mark hamill harrison ford carrie fisher plot actually rebel alliance led princess leia fisher attempt destroy galactic empire space station death star mission returning plans death star rebel alliance galactic empire want back lead darth vader david prowse movie perfect takes vision one imaginative directors earth realizes almost perfectly tools fit task actors stunts puppetry models special effects star wars film watch always watch much really really enjoy film fun pure joy entertaining truly great film like classic recommend film fan star wars trilogy favorite always new hope film saw first time kid grow love introduction walking trough desert planet tatooine captured jawa traders sell moisture farmers owen beru lars nephew luke skywalker first time met character luke skywalker scene walking trough desert self saw someone far away yells help love scene scene remember childhood favorite character favorite character time luke skywalker really love much second favorite character han solo luke skywalker ultimate hero galaxy love flick love end battle death star luke joins rebel assault squadron luke becomes one surviving pilots vader leads squad tie fighters prepares attack luke wing fighter han returns fires imperials sending vader spiraling away helped guidance obi wan spirit luke uses force successfully destroys death star seconds fire rebel base love scene love john williams score star wars best score ever excellent score makes actions scenes exciting intense george lucas directed movie well excellent job writer time director pacing excellent actors awesome job also love enjoyed character darth vader also love film happy ending harrison ford mark hamill carrie fisher great joy playing characters carrie fisher really gorgeous film film great pacing great imaginary story dose gives snippet backstory fight scene darth vader obi wan ben kenobi excellent death scene obi wan honorable death alec guinness perfect job obi wan ben kenobi excellent overall said everything film love forgot mention love han solo princess leia luke skywalker love death chewbacca flick get perfect best beloved science fiction film carrie fisher perfect princess leia missed
683,peter jackson truly outdid creating lord rings fellowship ring fails disappoint part trilogy two towers shows one hit wonder like many directors actually think two towers reaches level fellowship ring sometimes even surpasses film biggest film trilogy mean well film many things going like amazing battle helms deep frodo sam journey mount doom destroy ring one leading way gollum looks creepy realistic feel disconnected powerful performance andy serkis gollum nominated oscar best supporting actor best part film quite easily everyone knows ending ending battle helm deep quite breathtaking gandalf white comes distance another army defeat orcs treebeard army entz tear isengard destruction battle immense size truly see believe size scale peter jackson truly redefined word epic also pays attention small things truly elevate movie great amazing definitely recommend film everyone really watch first movie truly understand going
684,know fashionable trash successful movies least honest trashing pvt ryan fiction pretty good historical fiction details well thought based reality nothing stupid portrayal german army rommel blunder placement force high command think calais going invasion spot normandy hitler wake noon day aides afraid wake rangers come right behind first wave take beach exit sheer get hell beach bluffs scene heavy close fighting german defenders mostly eastern european conscripts defeated areas note men tried surrender speaking german young man rescued interior normandy brothers killed airborne trooper difference found chaplain removed front battles inside normandy small actions town town street street house house small actions like taking radar station happened small actions like handful men defending river bridge odds happened small squads men formed misdrops banded together hoc fight enlisted groups officer groups general die glider assault fubar aptly described much happened day americans movie brits canadians many klicks away different area omaha beach story american one monty bog advance everyone knew american stereotypes well pretty much define america college roomie wise ass new york jew best friend second generation east coast sicilian college girlfriend third generation german first wife french english irish boss norwegian work navaho get point much bad history fact excellent way let jaded somewhat ignorant past generation feel something grandparents living grandparents went perhaps less important details exact feel right even details fully known knowable campaign big complex chaotic knowable even accurate casualty count day depth characters saw extraordinary circumstances ordinary people thrown happened saw things would mark generation heard elderly male patients sentiments similar cpt miller expressing announced ordinariness saw dehumanization occurs war mitigation moment moment man man cpt miller know anything ryan care ryan revealed humanity story brothers pvt reiban ready walk situation discoverd captains ordinariness humanity began look almost father pvt mellish rightfully delights revenge times take jewish telling german captives juden nerdish cpl upham stand alongside bigger stronger braver ranger compatriots describe poetry melancholy edith piaf song face cowardice turn around stand face danger finally demonstrate dehumanization enterprise enmeshed executing steamboat willie even though willie choice upham circumstances would made friend could enough already perhaps best movie ever made still good movie one take blinders fashionable negativism see finally patriotic story anything acknowledgement thank old men still much say deep sincere thank
